vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Donald Trump,Female,"$75,000 to $79,999",Associate Degree,WI,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$175,000 to $199,999",Associate Degree,VA,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$65,000 to $69,999",High school graduate,TX,71 to 80,White,Female 71 to 80
Donald Trump,Female,"Less than $14,999",High school graduate,WA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$80,000 to $84,999","Completed some college, but no degree",MA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",TX,31 to 40,"Black, or African American",Female 31 to 40
Donald Trump,Female,"$40,000 to $44,999","Completed some college, but no degree",CA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,NC,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$20,000 to $24,999",Associate Degree,MD,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$60,000 to $64,999","Completed some college, but no degree",FL,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$15,000 to $19,999",High school graduate,WV,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999",High school graduate,OH,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$30,000 to $34,999",Associate Degree,NY,above 80,White,Female above 80
Joe Biden,Female,"$40,000 to $44,999","Completed some college, but no degree",KY,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$150,000 to $174,999",Associate Degree,IN,71 to 80,White,Male 71 to 80
Joe Biden,Male,"Less than $14,999",Associate Degree,WA,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$40,000 to $44,999",Associate Degree,IA,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$75,000 to $79,999",Associate Degree,SC,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$85,000 to $89,999",Associate Degree,MN,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$90,000 to $94,999","Completed some college, but no degree",GA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$75,000 to $79,999",Masters degree,PA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$60,000 to $64,999",Associate Degree,NJ,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$30,000 to $34,999",Associate Degree,VA,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$100,000 to $124,999","Completed some college, but no degree",SC,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,TX,61 to 70,White,Female 61 to 70
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",FL,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$65,000 to $69,999",Masters degree,AZ,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$45,000 to $49,999",Masters degree,IL,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$75,000 to $79,999","Completed some college, but no degree",OH,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$80,000 to $84,999",Masters degree,OH,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$40,000 to $44,999","Completed some college, but no degree",CA,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$20,000 to $24,999",Completed some high school,FL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$65,000 to $69,999",Associate Degree,NC,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Male,"$200,000 to $249,999",Associate Degree,TX,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$150,000 to $174,999",Doctorate degree,FL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$95,000 to $99,999",Associate Degree,TX,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$80,000 to $84,999",Associate Degree,NJ,41 to 50,White,Female 41 to 50
Donald Trump,Female,"Less than $14,999","Completed some college, but no degree",OR,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$25,000 to $29,999",Associate Degree,PA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,PA,71 to 80,"Black, or African American",Female 71 to 80
Joe Biden,Female,"$80,000 to $84,999","Completed some college, but no degree",NC,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$35,000 to $39,999",High school graduate,TX,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$75,000 to $79,999",Masters degree,VA,31 to 40,other asian or pacific islander,Male 31 to 40
Donald Trump,Male,"$95,000 to $99,999",Masters degree,OH,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$125,000 to $149,999",Associate Degree,CA,31 to 40,Chinese,Female 31 to 40
Joe Biden,Female,"$85,000 to $89,999",Masters degree,IL,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,NC,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$50,000 to $54,999",High school graduate,MI,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$150,000 to $174,999",Masters degree,CA,20 or less,White,Female 20 or less
Joe Biden,Female,"$65,000 to $69,999","Completed some college, but no degree",MI,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$30,000 to $34,999",Completed some high school,CT,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,NC,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$45,000 to $49,999",Associate Degree,CT,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$40,000 to $44,999",Masters degree,NC,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$30,000 to $34,999",Associate Degree,OR,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$100,000 to $124,999",Masters degree,IL,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$30,000 to $34,999",Masters degree,CA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$150,000 to $174,999",Masters degree,FL,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,IA,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$100,000 to $124,999",Masters degree,GA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$75,000 to $79,999",Masters degree,NY,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,WA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$60,000 to $64,999","Completed some college, but no degree",MI,31 to 40,White,Female 31 to 40
