registration,vote_intention,vote_2020,age,gender,race_ethnicity,household_income,education,state,vote_trump
Registered,"Yes, I will vote",Donald Trump,49,Female,White,"$75,000 to $79,999",Associate Degree,WI,1
Registered,"Yes, I will vote",Donald Trump,46,Female,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,1
Registered,"Yes, I will vote",Donald Trump,75,Female,White,"$65,000 to $69,999",High school graduate,TX,1
Registered,"Yes, I will vote",Donald Trump,52,Female,White,"Less than $14,999",High school graduate,WA,1
Registered,"Yes, I will vote",Joe Biden,21,Female,White,"$80,000 to $84,999","Completed some college, but no degree",MA,0
Registered,"Yes, I will vote",Joe Biden,38,Female,"Black, or African American","Less than $14,999","Completed some college, but no degree",TX,0
Registered,"Yes, I will vote",Donald Trump,69,Female,White,"$40,000 to $44,999","Completed some college, but no degree",CA,1
Registered,"Yes, I will vote",Donald Trump,59,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NC,1
Registered,"Yes, I will vote",Donald Trump,74,Female,White,"$20,000 to $24,999","Completed some graduate, but no degree",MD,1
Registered,"Yes, I will vote",Joe Biden,55,Female,White,"$60,000 to $64,999","Completed some college, but no degree",FL,0
Registered,"Yes, I will vote",Donald Trump,62,Female,White,"$15,000 to $19,999",Other post high school vocational training,WV,1
Registered,"Yes, I will vote",Joe Biden,42,Female,White,"$30,000 to $34,999",High school graduate,OH,0
Registered,"Yes, I will vote",Joe Biden,81,Female,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Joe Biden,22,Female,White,"$40,000 to $44,999","Completed some college, but no degree",KY,0
Registered,"Yes, I will vote",Donald Trump,71,Male,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IN,1
Registered,"Yes, I will vote",Joe Biden,41,Male,White,"Less than $14,999","College Degree (such as B.A., B.S.)",WA,0
Registered,"Yes, I will vote",Donald Trump,71,Female,White,"$40,000 to $44,999","Completed some graduate, but no degree",IA,1
Registered,"Yes, I will vote",Donald Trump,55,Female,White,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",SC,1
Registered,"Yes, I will vote",Joe Biden,68,Male,White,"$85,000 to $89,999",Associate Degree,MN,0
Registered,"Yes, I will vote",Donald Trump,69,Female,White,"$90,000 to $94,999","Completed some college, but no degree",GA,1
Registered,"Yes, I will vote",Donald Trump,33,Female,White,"$75,000 to $79,999",Masters degree,PA,1
Registered,"Yes, I will vote",Joe Biden,70,Female,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,0
Registered,"Yes, I will vote",Donald Trump,32,Female,White,"$30,000 to $34,999",Associate Degree,VA,1
Registered,"Yes, I will vote",Donald Trump,77,Female,White,"$100,000 to $124,999","Completed some college, but no degree",SC,1
Registered,"Yes, I will vote",Donald Trump,65,Female,White,"$100,000 to $124,999",Associate Degree,TX,1
Registered,"Yes, I will vote",Joe Biden,22,Female,"Black, or African American","Less than $14,999","Completed some college, but no degree",FL,0
Registered,"Yes, I will vote",Joe Biden,63,Female,White,"$65,000 to $69,999",Masters degree,AZ,0
Registered,"Yes, I will vote",Joe Biden,79,Male,White,"$45,000 to $49,999",Masters degree,IL,0
Registered,"Yes, I will vote",Donald Trump,70,Male,White,"$75,000 to $79,999","Completed some college, but no degree",OH,1
Registered,"Yes, I will vote",Joe Biden,54,Female,White,"$80,000 to $84,999",Masters degree,OH,0
Registered,"Yes, I will vote",Joe Biden,72,Male,White,"$40,000 to $44,999","Completed some college, but no degree",CA,0
Registered,"Yes, I will vote",Donald Trump,40,Female,White,"$20,000 to $24,999",Completed some high school,FL,1
Registered,"Yes, I will vote",Joe Biden,69,Female,"Black, or African American","$65,000 to $69,999","College Degree (such as B.A., B.S.)",NC,0
Registered,"Yes, I will vote",Joe Biden,37,Male,White,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",TX,0
Registered,"Yes, I will vote",Joe Biden,36,Female,White,"$150,000 to $174,999",Doctorate degree,FL,0
Registered,"Yes, I will vote",Joe Biden,40,Female,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",TX,0
Registered,"Yes, I will vote",Joe Biden,41,Female,White,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",NJ,0
Registered,"Yes, I will vote",Donald Trump,72,Female,White,"Less than $14,999","Completed some college, but no degree",OR,1
Registered,"Yes, I will vote",Donald Trump,55,Female,White,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",PA,1
Registered,"Yes, I will vote",Joe Biden,80,Female,"Black, or African American","$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,0
Registered,"Yes, I will vote",Joe Biden,66,Female,White,"$80,000 to $84,999","Completed some college, but no degree",NC,0
Registered,"Yes, I will vote",Donald Trump,40,Female,White,"$35,000 to $39,999",Other post high school vocational training,TX,1
Registered,"Yes, I will vote",Donald Trump,31,Male,Asian (Vietnamese),"$75,000 to $79,999",Masters degree,VA,1
Registered,"Yes, I will vote",Donald Trump,69,Male,White,"$95,000 to $99,999",Masters degree,OH,1
Registered,"Yes, I will vote",Joe Biden,31,Female,Asian (Chinese),"$125,000 to $149,999","Completed some graduate, but no degree",CA,0
Registered,"Yes, I will vote",Joe Biden,51,Female,White,"$85,000 to $89,999",Masters degree,IL,0
Registered,"Yes, I will vote",Donald Trump,78,Female,White,"$100,000 to $124,999","Completed some graduate, but no degree",NC,1
Registered,"Yes, I will vote",Joe Biden,58,Female,White,"$50,000 to $54,999",Other post high school vocational training,MI,0
Registered,"Yes, I will vote",Joe Biden,19,Female,White,"$150,000 to $174,999",Masters degree,CA,0
